TIC_ID,TLS_PER,SDE
TIC_422692632,4.130465075122338,9.559689566396548
TIC_359892714,0.9440015810034732,18.794500680698942
TIC_363782768,10.345440746531597,5.150697424969604
TIC_118278380,5.317915249688604,6.967802293514425
TIC_360779428,1.7231018701786276,6.272045523309502
TIC_405756510,10.747194200719942,6.143548610038114
TIC_345324572,2.556800141572583,10.682696378518788
TIC_141146667,0.6549188694270835,13.233174616499069
TIC_239134011,3.2624729930027274,19.80242473359306
TIC_321805583,1.4427871713324507,6.845464989711482
TIC_258382313,0.6323890495303929,8.813286068114927
TIC_372515598,1.632748173666851,8.324416627566793
TIC_245821503,0.586316767484307,7.483337961890161
TIC_219290316,0.5157538075361392,11.997827265540824
TIC_137823194,4.909311016907368,8.472802240923482
TIC_43451370,1.7429559027120396,15.032538806597227
TIC_461066586,2.9646280810258747,6.31099885704237
TIC_144155582,5.524049564419668,7.931664670350596
TIC_294993587,1.7646105241636871,6.713649165436875
TIC_339397736,6.01344409049449,9.348451553982892
TIC_232965288,1.5643437375354885,5.667752874170434
TIC_408411330,1.3860278925780685,4.4172643428249705
TIC_260778617,14.902738940130236,8.82338799958997
TIC_351680104,3.291408951638643,13.025866051013207
TIC_332213483,1.9704625200333084,4.926375251884185
TIC_385504478,4.912228802668197,7.455514003304903
TIC_266002317,0.6750928055443968,5.323873018653603
TIC_187681788,1.6747518623376538,13.515610813753579
TIC_291074569,11.970240838646806,5.882103463358126
TIC_429152614,3.35187638699978,5.688341819806559
TIC_436783866,1.3753862732798503,5.39115666401805
TIC_9966678,1.3097900583754203,5.957682114933834
TIC_405089321,3.4994709153098587,6.04445301847383
TIC_409372963,0.5735858756411336,12.855788895193808
TIC_151610256,0.9288678521751337,10.392792573002504
TIC_453808153,0.7932589138155289,11.84998866674842
TIC_312617534,2.790032349625402,5.500939015917255
TIC_345395031,0.5243269700165809,13.943554806167565
TIC_101433378,5.423527748556474,6.473682284266897
TIC_129623324,0.7242055224164001,9.482677945558175
TIC_84900299,0.7369283551408579,7.532304729428142
TIC_451922999,1.032494369610199,7.786748999287006
TIC_57151431,2.4457606359203425,11.273159576907121
TIC_266271836,2.90347699231867,8.370299894552822
TIC_302904748,10.557939354560027,8.28363668235127
TIC_405040121,0.8288250405507244,21.786483001391574
TIC_57830249,9.337118731453542,8.33731668797587
TIC_255551163,0.6134250864517977,16.42229735202036
TIC_121049033,0.5555144863012051,10.92017253343473
TIC_312185848,1.3559716208131274,57.79541217554825
TIC_269077806,3.979350351854102,7.5569585272446735
TIC_408589330,2.131865413930056,8.770901988760738
TIC_255488269,2.052389659276162,6.855252009466301
TIC_60922830,0.5613727442274848,23.275446117957944
TIC_138473191,3.3854799366523656,17.04651033272871
TIC_360205899,0.8571419916459432,26.57508944639145
TIC_400513376,12.989060161379541,8.305348451476474
TIC_17417151,4.922693989855234,10.079626912731769
TIC_369394619,1.0408237330758623,8.773688241774309
TIC_404144841,0.8949173020480818,17.04092296168638
TIC_24452802,12.117359675545536,9.87150208648046
TIC_32545814,0.6453460955285988,17.458210073184095
TIC_428055049,6.456686646563651,11.01642227936498
TIC_406173242,0.6909816930219258,8.932509362031702
TIC_136885277,4.909157207391994,6.033033632668003
TIC_355373774,0.5775373008774553,16.714239727195988
TIC_382543452,9.877680695688966,6.352567776709941
TIC_160004720,0.8128659542537886,5.947622616797256
TIC_134631370,0.6605459457639536,11.533046596002118
TIC_56459273,10.896275006803696,7.28176705654589
TIC_233514176,2.669146923689049,6.411243623786983
TIC_375565862,1.2744193622160847,5.844066247214497
TIC_67568168,0.7117469765822066,7.503240720041458
TIC_400331058,0.6596763192524209,6.237740093322929
TIC_266842406,12.832907885321603,9.460845493984555
TIC_160329609,0.5066514933287232,11.623651657900963
TIC_280675564,0.7785707850271238,9.059133905458255
TIC_209291266,1.071566776784191,7.939326198113045
