TIC_ID,counts
TIC_326538701,11659
TIC_36124955,29830
TIC_217182385,14207
TIC_440686535,28581
TIC_166869904,30074
TIC_206605715,12063
TIC_37904598,33854
TIC_277725683,27292
TIC_176876546,15455
TIC_244161191,28812
TIC_243400994,45639
TIC_233494936,253987
TIC_166787846,62918
TIC_274801993,67180
TIC_344552743,30699
TIC_103101099,33713
TIC_245865895,65937
TIC_144289734,30000
TIC_165941376,28535
TIC_219993473,62777
TIC_257048637,185302
TIC_246861224,17997
TIC_337757672,17131
TIC_308245136,47647
TIC_686220013,34370
TIC_367843143,16463
TIC_142264088,14900
TIC_134873712,11593
TIC_150598692,17194
TIC_52583022,48298
TIC_139725285,34403
TIC_57513388,30577
TIC_449941032,16811
TIC_266744225,25212
TIC_122288890,29710
TIC_112464324,30598
TIC_122083452,11616
TIC_72987984,14841
TIC_327039106,25972
TIC_404378135,17125
TIC_219258986,77914
TIC_328480578,25991
TIC_48064387,29806
TIC_143268184,29072
TIC_258908663,20393
TIC_29853348,28556
TIC_338091463,14295
TIC_454715223,42273
TIC_316295827,11553
TIC_279640409,14356
TIC_58172624,31316
TIC_229945262,277333
TIC_388966496,28245
TIC_365637508,30281
TIC_410981161,11665
TIC_143995063,29306
TIC_73308877,26396
TIC_251845156,29562
TIC_438789953,29899
TIC_382248311,17139
TIC_245271960,45867
TIC_258101273,13218
TIC_337359464,41118
TIC_367180237,47693
TIC_327873544,16675
TIC_436632331,66129
TIC_54147487,14654
TIC_363265095,13000
TIC_454757744,63665
TIC_454544943,59533
TIC_411357190,60128
TIC_144282456,16417
TIC_360914079,16559
TIC_369743686,30044
TIC_165818534,64005
TIC_442571495,31931
TIC_245936201,65522
TIC_123027358,28986
TIC_185462761,29723
TIC_357105141,20705
TIC_359766629,63215
TIC_72499657,14858
TIC_287132854,99379
TIC_47596872,14527
TIC_401299019,45959
TIC_43149283,31483
TIC_459350219,17837
TIC_436722903,31693
TIC_411128422,47411
TIC_366011855,11682
TIC_112176566,29117
TIC_120334442,16274
TIC_35001854,30001
TIC_462492721,64359
TIC_112472211,33435
TIC_364017175,14189
TIC_144126053,47570
TIC_303048907,26767
TIC_454323762,53313
TIC_407624075,18230
TIC_120933455,14723
TIC_416836609,44600
TIC_266011945,26384
TIC_240454319,12929
TIC_462320070,65358
TIC_120334451,9395
TIC_336741253,47982
