TIC_ID,clean_num_obs,no_flare_num_obs,raw_num_obs,no_flare_sigma,no_flare_diff_sigma,cdpp,top_ls_period,top_ls_power,fap_95,top_ls_period_sub_harmonic,top_ls_period_harmonic,second_ls_period,third_ls_period,fourth_ls_period,fifth_ls_period,second_ls_power,third_ls_power,fourth_ls_power,fifth_ls_power,ab,mass,mass_min,mass_max,radius,radius_min,radius_max,num_sectors
TIC_125840950,16870,16874,16907,0.004848544186206286,0.006858956003580024,1121.8236784137405 ppm,0.10202092025900791,0.0010248665415421665,1.1323785026475579e-182,0.05101046012950396,0.20404184051801583,0.9057734823317541,0.1021040428762061,0.10193793287150237,0.1764159369921531,0.0009304636769680518,0.0009118161102658571,0.0008923143266602888,0.0007993822546479922,"(0.1819,0.4364)",0.560126,0.0202481,0.0202481,0.56681,0.0167786,0.0167786,1
TIC_464779449,33964,34060,34240,0.013206325909555843,0.007578232497505777,1403.1165114648816 ppm,1.0549849550067043,0.722383387496443,0.0,0.5274924775033522,2.1099699100134086,1.053526168563361,1.0564477869283573,1.052071410839776,1.0474430655813058,0.7196446426110694,0.7034346883284865,0.6952026141192538,0.6785661474609747,"(0.1533,0.4776)",0.427109,0.0203755,0.0203755,0.432027,0.0129831,0.0129831,2
TIC_62632828,48199,48205,48376,0.015936674060043808,0.02223912218173537,3736.5014017005424 ppm,0.9714976733002577,0.005006135648121129,0.0,0.48574883665012886,1.9429953466005154,0.9739729235582796,0.9690349723285252,0.48728730464194914,0.9764608192694798,0.0047472268482647954,0.003906518997745492,0.003308872016495786,0.0032635347309655197,"(0.1606,0.4974)",0.411622,0.020486,0.020486,0.41798,0.0127225,0.0127225,1
TIC_141146667,33342,33342,33379,0.037154894940317734,0.013501949947595621,14205.433896247692 ppm,0.1637628025557631,0.6534939247309363,0.0,0.08188140127788154,0.3275256051115262,0.16361394985799188,0.16388705352411478,0.1639119263465813,0.16373797496687417,0.6249734758897951,0.562421227140312,0.5490979748843576,0.5328042063330599,"(0.1606,0.4974)",0.334652,0.0201689,0.0201689,0.350384,0.010374,0.010374,2
TIC_90723908,16216,16244,17221,0.006022070088560862,0.0036814270376706584,696.385569640626 ppm,6.51444598687365,0.5547436507526455,1.12206107086387e-175,3.257222993436825,13.0288919737473,6.1958103310021055,6.86763180904272,5.906891481251409,7.261309420763489,0.4975486240122725,0.47922869667087803,0.3192101043182886,0.3109327718202849,"(0.1959,0.4178)",0.663342,0.0203173,0.0203173,0.699793,0.0208413,0.0208413,1
TIC_221355243,31540,31597,31999,0.019178675866875706,0.010828394192958316,2018.3360124394324 ppm,3.21283356699808,0.6300892636465649,0.0,1.60641678349904,6.42566713399616,3.2264647055192848,3.1993171213417333,3.2402120029529304,3.1699775917008592,0.6296591481395848,0.6116770772105284,0.6104415475001309,0.5983048456305746,"(0.1819,0.4364)",0.599446,0.0203938,0.0203938,0.614104,0.0184432,0.0184432,2
TIC_193136669,31009,31017,31058,0.016345641406739955,0.008396817566167036,2399.143965699433 ppm,1.57878449141665,0.27265952304656,0.0,0.789392245708325,3.1575689828333,1.5820642605530897,1.5755182926919151,1.5651566753543333,1.5619465625580298,0.2688937115540458,0.26857828628263375,0.26819152615727226,0.2671150828916916,"(0.1693,0.5023)",0.426024,0.0204502,0.0204502,0.431035,0.0130521,0.0130521,2
TIC_382543452,31879,31891,32214,0.007492027077504576,0.009100153344016445,1551.7002627613283 ppm,0.7646949770112256,0.18509187033861502,0.0,0.3823474885056128,1.5293899540224511,0.7654659839996185,0.7639255216361929,0.7662385472993708,0.7631576131954111,0.18305508422263028,0.18207000218867317,0.17611359661263795,0.17417620016348034,"(0.1618,0.47)",0.54692,0.0204682,0.0204682,0.551855,0.0166718,0.0166718,2
TIC_429152614,27652,27953,31159,0.08082882394872634,0.030051099167616894,6880.3804713242125 ppm,4.784810968527433,0.40566681766885243,1.58033594625071e-305,2.3924054842637164,9.569621937054865,4.754938523355779,4.8150611281969455,4.7254367621539135,4.633443319837686,0.40202338125799353,0.4000359805075465,0.3891960701632844,0.38663842104655266,"(0.1693,0.5023)",0.492329,0.0204864,0.0204864,0.494235,0.0149591,0.0149591,2
TIC_93242288,48888,48946,49356,0.008934524852560329,0.008217267751620874,1508.6242284358752 ppm,0.8203142019690851,0.3387162584762578,0.0,0.41015710098454256,1.6406284039381702,0.8212013926528735,0.8194289261818792,0.8183691141829488,0.8174880294066439,0.33551638843289394,0.32027451785738736,0.31876343525037765,0.3116566576516981,"(0.1533,0.4776)",0.436897,0.020439,0.020439,0.441023,0.0133272,0.0133272,2
