GDR2_121007546764868864,TIC_349294831
GDR2_121007546764868992,TIC_349294832
GDR2_121008543197280640,TIC_349355214
GDR2_121010329903672576,TIC_349355191
GDR2_121012460207454720,TIC_417832629
GDR2_121032079618050560,TIC_349294922
GDR2_121132513133158784,TIC_90649364
GDR2_121146497546656896,TIC_90669371
GDR2_121163093300288256,TIC_90650249
GDR2_121190920393107840,TIC_101092070
GDR2_121213189799197952,TIC_101093474
GDR2_121250573194482304,TIC_90692472
GDR2_121251049934719616,TIC_90692478
GDR2_121251226029512192,TIC_90691157
GDR2_121251810145061376,TIC_90692504
GDR2_121252875296947584,TIC_90766783
GDR2_121272696569944960,TIC_90766692
GDR2_121284481960254976,TIC_101032851
GDR2_121318120144014336,TIC_90572334
GDR2_121318291942707072,TIC_90571558
GDR2_121318330598494464,TIC_90572339
GDR2_121331559097739520,TIC_90572456
GDR2_121336816137727360,TIC_90552343
GDR2_121339702355689728,TIC_641075379
GDR2_121348086131842304,TIC_90552445
GDR2_1213889222504421376,TIC_357474867
GDR2_121389077299717120,TIC_90552440
GDR2_121390864006118528,TIC_349355098
GDR2_121393166108583808,TIC_349355065
GDR2_121393578425442816,TIC_349356263
GDR2_121393956382564736,TIC_349355046
GDR2_121394403059162752,TIC_349355041
GDR2_121394677937069184,TIC_349355026
GDR2_121394952814977280,TIC_90552446
GDR2_121399488300436352,TIC_349356285
GDR2_121404161224865408,TIC_417832551
GDR2_121404367383293056,TIC_349355058
GDR2_121404539181984768,TIC_417832533
GDR2_121404573541723392,TIC_417832529
GDR2_121404710980675200,TIC_417832521
GDR2_121405260736491264,TIC_417832526
GDR2_121405432535181568,TIC_417832520
GDR2_121406394607851264,TIC_349354974
GDR2_121406428967590272,TIC_349355012
GDR2_121406738205233152,TIC_349354964
GDR2_121406841284447232,TIC_349354951
GDR2_121445908306951168,TIC_90552702
GDR2_121465046681719552,TIC_90669664
GDR2_121485903042882304,TIC_90690827
GDR2_121528504822114176,TIC_90648852
GDR2_121596640183292544,TIC_90670292
GDR2_121713192711856512,TIC_34977987
GDR2_121731605236608384,TIC_34975053
GDR2_121875095799134848,TIC_35024327
GDR2_122143479715593472,TIC_34942528
GDR2_122181034909431040,TIC_35114670
GDR2_122190861794577664,TIC_28830633
GDR2_122207212734710400,TIC_28908909
GDR2_122208763218314112,TIC_28874693
GDR2_122265147548829952,TIC_35083865
GDR2_122268411724050304,TIC_28830531
GDR2_122273183431660032,TIC_35118607
GDR2_122305588961219328,TIC_28908841
GDR2_122329984375436672,TIC_28914066
GDR2_122374991336450048,TIC_28869846
GDR2_122401246472709888,TIC_101406476
GDR2_122532363234446208,TIC_467577242
GDR2_12258596873788032,TIC_416761043
GDR2_122594550065315200,TIC_101348953
GDR2_122644685219032960,TIC_101406756
GDR2_122647537077431680,TIC_101406794
GDR2_122655061860106112,TIC_101302019
GDR2_122901661702550784,TIC_34942657
GDR2_12314019131737600,TIC_416800777
GDR2_123523263729335424,TIC_467570917
GDR2_12355628774864128,TIC_400006266
GDR2_123612186732427008,TIC_126096523
GDR2_123817967205696640,TIC_467568804
GDR2_123910081367783552,TIC_138018940
GDR2_123959834268754176,TIC_137991079
GDR2_123960250881890432,TIC_137991076
GDR2_1239811824036977664,TIC_418025652
GDR2_123990242637876480,TIC_138114752
GDR2_123991277725418752,TIC_138114737
GDR2_123994679339516800,TIC_138114723
GDR2_123999764580785536,TIC_138115484
GDR2_124002856957227648,TIC_138125313
GDR2_124017318111063808,TIC_138114580
GDR2_124017597284939776,TIC_138052712
GDR2_124018864299289088,TIC_138115594
GDR2_124030890207716864,TIC_138115622
GDR2_124034399197072896,TIC_349293806
GDR2_124034399197073024,TIC_349293809
GDR2_124046562544409344,TIC_138125163
GDR2_124136275821718912,TIC_137886480
GDR2_124140502069586816,TIC_137912392
GDR2_124458948124842240,TIC_90552823
GDR2_124475646957597952,TIC_349354583
GDR2_12457814635929856,TIC_399932963
GDR2_124687990140487424,TIC_90570275
GDR2_125091339109315456,TIC_101350029
GDR2_125439300180484992,TIC_101353956
GDR2_12549589497058432,TIC_416672733
GDR2_126059665256116352,TIC_137987601
GDR2_126277849594003584,TIC_436844019
GDR2_126289634984232832,TIC_436848474
GDR2_126468511782010880,TIC_22750343
GDR2_1266168217266929408,TIC_236288793
GDR2_1268441350182375296,TIC_229899293
GDR2_127114543583090176,TIC_436850886
GDR2_127191612476156160,TIC_436849202
GDR2_127337538284987008,TIC_22735284
GDR2_127661138301191168,TIC_22739419
GDR2_1278185978141420032,TIC_67884244
GDR2_128138979182478848,TIC_22842654
GDR2_128256592567030400,TIC_22946818
GDR2_1283536377816418176,TIC_310094905
GDR2_1283837403484262400,TIC_156647579
GDR2_1283901175158648192,TIC_156624818
GDR2_1284491784701806208,TIC_286964952
GDR2_128477147727418624,TIC_301918024
GDR2_1284817515021311104,TIC_156647285
GDR2_1285073323273423616,TIC_43172854
GDR2_129377888270140928,TIC_269824761
GDR2_1294647870528949376,TIC_28239047
GDR2_1295081765305146496,TIC_28311489
