clean_time,clean_flux,trend_time,trend_flux,no_flare_raw_time,no_flare_raw_flux,raw_time,raw_flux
2061.857323255641,1.006971569648968,2061.857323255641,0.9914910956657502,2061.855934321263,0.9993926122920999,2061.855934321263,0.9993926122920999
2061.876768340656,1.005586300664804,2061.876768340656,0.9906521830140226,2061.857323255641,0.9984033448955157,2061.857323255641,0.9984033448955157
2061.883713013011,1.0071714522240578,2061.883713013011,0.9903353519870819,2061.858712190484,1.0003074251581858,2061.858712190484,1.0003074251581858
2061.896213421945,1.0068065142294054,2061.896213421945,0.9898522304142701,2061.860101125327,0.9997509032758449,2061.860101125327,0.9997509032758449
2061.9045470272818,1.0048833149209984,2061.9045470272818,0.9895088576504638,2061.861490060171,0.9994628637442634,2061.861490060171,0.9994628637442634
2061.907324895571,1.0070763248976848,2061.907324895571,0.9893883224906829,2061.8628789945487,1.0004945908097376,2061.8628789945487,1.0004945908097376
2061.911491697773,1.0071863539646466,2061.911491697773,0.9892049518190097,2061.8642679293916,0.9991086900617441,2061.8642679293916,0.9991086900617441
2061.915658499976,1.0069591150532222,2061.915658499976,0.9890156366035509,2061.8656568642364,0.9990740361097611,2061.8656568642364,0.9990740361097611
2061.9170474338885,1.0072256123357322,2061.9170474338885,0.9889585159710856,2061.867045798615,0.9990905053146639,2061.867045798615,0.9990905053146639
2061.92121423609,1.0063061677403187,2061.92121423609,0.9887784596142231,2061.8684347334583,0.9998428563365523,2061.8684347334583,0.9998428563365523
2061.925381037827,1.0062653199099243,2061.925381037827,0.9886017393132965,2061.8698236678356,0.9991649598451621,2061.8698236678356,0.9991649598451621
2061.9267699717384,1.005928683902777,2061.9267699717384,0.9885411803606577,2061.8712126026794,1.0012767064884036,2061.8712126026794,1.0012767064884036
2061.928158905651,1.0060662364095434,2061.928158905651,0.9884789211504281,2061.8726015370567,0.9984802869621711,2061.8726015370567,0.9984802869621711
2061.9351035747463,1.0060537442206574,2061.9351035747463,0.9881752179915956,2061.873990471434,0.9990748938808498,2061.873990471434,0.9990748938808498
2061.936492508659,1.006219501588975,2061.936492508659,0.9881076539135222,2061.8753794062777,0.9984525809560064,2061.8753794062777,0.9984525809560064
2061.9378814421057,1.0052669108223584,2061.9378814421057,0.9880530740430798,2061.876768340656,0.9961862639625834,2061.876768340656,0.9961862639625834
2061.9392703760177,1.0070558172307134,2061.9392703760177,0.9879993166193408,2061.878157275033,0.9991948102790483,2061.878157275033,0.9991948102790483
2061.9434371772877,1.0050107916771442,2061.9434371772877,0.9878055774189718,2061.879546209411,0.999846973637778,2061.879546209411,0.999846973637778
2061.9448261107336,1.0060503745827618,2061.9448261107336,0.987741819654912,2061.883713013011,0.9974374946496528,2061.883713013011,0.9974374946496528
2061.9489929120045,1.0067888962310816,2061.9489929120045,0.9875398786802692,2061.889268750522,0.9991231863931429,2061.889268750522,0.9991231863931429
2061.9503818454514,1.0059245943565225,2061.9503818454514,0.9874791298489295,2061.8934355531896,0.9973866288240936,2061.8934355531896,0.9973866288240936
2061.9531597128107,1.0072691356415957,2061.9531597128107,0.9873627558891548,2061.894824487568,0.9982148068102221,2061.894824487568,0.9982148068102221
2061.954548646257,1.0057089755447073,2061.954548646257,0.9873054139106648,2061.896213421945,0.9965896737055934,2061.896213421945,0.9965896737055934
2061.9559375801696,1.0074495880600827,2061.9559375801696,0.9872388602253052,2061.8976023563223,0.9972162754858801,2061.8976023563223,0.9972162754858801
2061.957326513616,1.006587682085016,2061.957326513616,0.9871751170203085,2061.8989912902352,0.9980400788394563,2061.8989912902352,0.9980400788394563
2061.9601043805087,1.0063789602041004,2061.9601043805087,0.9870423317483709,2061.9003802246143,0.9981702884907192,2061.9003802246143,0.9981702884907192
2061.9614933139555,1.0071349542099515,2061.9614933139555,0.9869766432654774,2061.9017691589916,0.9993596738822943,2061.9017691589916,0.9993596738822943
2061.9628822474015,1.0044329460965713,2061.9628822474015,0.9869114073247987,2061.9031580929036,0.9996799656068104,2061.9031580929036,0.9996799656068104
2061.9642711813135,1.0075177662921233,2061.9642711813135,0.986846319833606,2061.9045470272818,0.9943409410194883,2061.9045470272818,0.9943409410194883
2061.9656601147603,1.006962342570763,2061.9656601147603,0.9867769821493984,2061.905935961194,1.0002313408626191,2061.905935961194,1.0002313408626191
2061.967049048207,1.0064266920227172,2061.967049048207,0.9867111088779089,2061.907324895571,0.9963895557106024,2061.907324895571,0.9963895557106024
2061.9684379816536,1.0060606615161976,2061.9684379816536,0.9866412398398599,2061.9087138294835,0.9976069902167777,2061.9087138294835,0.9976069902167777
2061.971215848547,1.0038384001075473,2061.971215848547,0.9865211243477909,2061.910102763861,0.9980833962794351,2061.910102763861,0.9980833962794351
2061.9726047815275,1.007977915058521,2061.9726047815275,0.986460662614405,2061.911491697773,0.9963137287463624,2061.911491697773,0.9963137287463624
2061.973993714974,1.007179762984597,2061.973993714974,0.9863909946800103,2061.9128806316853,0.9976744110243485,2061.9128806316853,0.9976744110243485
2061.9753826484207,1.0077066452977017,2061.9753826484207,0.9863310808636314,2061.9142695660635,0.9968903224721786,2061.9142695660635,0.9968903224721786
2061.978160515313,1.0042859185164004,2061.978160515313,0.9861906773977592,2061.915658499976,0.9958983102081107,2061.915658499976,0.9958983102081107
2061.97954944876,1.00482912292593,2061.97954944876,0.9861233849199043,2061.9170474338885,0.9961043468236136,2061.9170474338885,0.9961043468236136
2061.98093838174,1.0042288456598651,2061.98093838174,0.9860530872584644,2061.9198253017125,0.9973287292756071,2061.9198253017125,0.9973287292756071
