TIC_ID,GDR2_RA,GDR2_DEC,NUM_OBS
400513376,92.984,33.4289,47804
401299019,135.3354,-52.3535,46026
404144841,195.1445,-51.2182,45868
404378135,328.3532,-81.1364,17209
405040121,185.5926,-71.6178,26033
405089321,185.495,-67.9152,47521
405508600,190.3441,-57.346,46092
405514195,190.3681,-58.571,11676
405756510,192.2286,-59.83,46172
406173242,290.1456,-51.1898,29165
407624075,11.7953,-31.7355,18282
408411330,357.2139,6.7186,11204
408589330,34.4837,12.4238,26988
409372963,218.3804,34.2963,13337
409676809,60.4435,43.5368,16893
410981161,178.0494,-70.6989,11687
411128422,178.3706,-67.1869,47457
411357190,183.0921,-58.0196,61150
411874804,189.6374,-55.5095,45949
416836609,55.6318,10.8761,45384
422692632,30.4452,1.2876,42552
422692635,30.4458,1.2848,42553
424881692,291.5033,-53.5245,33892
425933644,3.6994,-60.0635,67353
427346731,83.4993,-2.3592,31696
428055049,42.2925,48.7285,14807
429152610,173.1715,-26.8657,31507
429152614,173.1711,-26.8693,31159
430592416,131.1626,-43.8919,42993
431124765,334.678,33.3537,13735
43149283,97.4603,-2.7969,32092
434100291,352.8553,-16.2672,33023
43451370,11.3917,-24.556,12781
435801086,193.0604,-61.9879,11684
436632331,72.0108,14.6641,66201
436722903,74.027,13.5785,31750
436783866,193.7818,-63.9436,30141
437230158,164.7101,-23.7725,30991
438627800,201.865,-47.3189,46137
438789953,201.8861,-49.0395,30192
440685559,56.9991,22.6416,28603
440686535,57.1109,23.1914,28640
442571495,236.9029,-31.4452,32000
443480340,199.3868,-62.12,30190
444536794,147.5025,-58.4718,65622
44743153,61.488,-28.1629,48189
447993848,185.1411,-71.5886,26043
449941032,57.6961,48.2097,16892
451922999,173.0712,-56.8358,30379
452591471,142.9767,-73.4602,93307
453766186,159.4892,-73.4948,75906
453808153,160.3871,-76.0405,79723
453856042,82.8812,-43.3844,66600
454120432,64.6729,4.3659,34304
454196756,79.2112,2.4535,34236
454323762,167.3161,-73.8796,53804
454544943,172.1892,-72.895,60738
454715223,175.3211,-73.2602,42359
454757744,175.8729,-74.3105,63785
454980196,180.0105,-74.7352,63865
455029978,76.554,4.6572,17204
459350219,233.685,-28.0048,18086
460844584,219.8134,-35.4534,29927
461066586,159.6848,-59.9121,49286
461995467,234.8244,-26.8929,18236
462320070,150.9937,-59.4007,65642
462492721,151.4084,-57.5111,64750
46430860,83.7769,-17.1093,31694
464779449,61.4727,5.5235,34240
464781450,61.6446,2.0619,34257
466265409,304.4713,-62.2456,30032
467368706,168.4197,-64.8165,63177
47330198,135.1459,-7.9662,12859
47424873,342.2842,-28.8566,30431
47590073,100.6785,-28.9592,30842
47596872,97.2778,-21.5141,14537
48064387,222.2448,-32.4025,29913
48364505,223.4889,-33.9098,29911
49954689,59.8306,-1.7638,17185
50745567,82.9912,-3.0604,31764
52583022,84.1539,13.0101,48381
53205995,166.5294,-4.3357,32555
54147487,160.6248,-33.6713,15506
55000645,21.5038,61.7796,47318
56459273,62.9017,25.078,31239
5714469,179.2006,-22.4894,13461
57151431,170.3223,-34.7806,30990
57513388,172.9798,-34.6076,30978
57830249,174.8905,-30.6669,30413
58172624,64.1451,24.939,31652
58543110,65.9,27.0968,31564
58583881,238.9484,-36.5669,13303
58825604,12.911,15.5042,26497
58833495,239.4518,-40.152,11847
59836633,71.8378,28.1478,31705
60874953,66.3069,17.2681,31695
60922830,25.9,19.2586,40261
61530691,228.8948,-25.4506,11697
62632828,80.1509,25.0678,48325
63777591,34.0108,30.7323,14644
64360693,106.7255,-24.9109,33026
64703341,309.6048,39.3118,44533
67568168,29.7547,36.1653,14686
68565222,243.7585,-28.9008,14340
686220013,71.6421,-26.4658,34537
71374255,45.7153,-19.1973,14677
72499619,187.5239,-44.0756,30430
72499657,187.5214,-44.0434,14899
72564426,187.9083,-45.9833,30626
72987984,189.2707,-44.3221,14850
73182755,190.0235,-46.5664,30615
73308877,190.3729,-46.6874,26491
73308879,190.3802,-46.6846,42274
77842052,78.1489,-30.6852,34543
77951245,79.0051,-31.4127,49050
77954300,79.185,-32.4342,49313
79011520,314.9465,-48.1653,18275
80033631,105.0291,-19.0236,14624
82525365,175.3344,16.4483,13239
83211097,213.7948,-25.3368,29852
84900299,64.7672,62.3827,16791
90723908,277.0688,-44.3635,17221
91542943,43.8252,-33.7457,57469
91853165,284.5174,-29.8848,17207
92595555,315.5652,-31.4874,31504
93242288,85.9267,-23.7116,49322
950715112,181.7352,70.1304,49821
97882429,234.1317,-55.0632,52132
99135067,122.1033,43.7983,33140
9966678,50.6886,-9.0232,14687
