,0
319,TIC_422692632
320,TIC_422692635
321,TIC_424881692
322,TIC_425933644
323,TIC_427346731
324,TIC_428055049
325,TIC_429152610
326,TIC_429152614
327,TIC_430592416
328,TIC_431124765
329,TIC_43149283
330,TIC_434100291
331,TIC_43451370
332,TIC_435801086
333,TIC_436632331
334,TIC_436722903
335,TIC_436783866
336,TIC_437230158
337,TIC_438627800
338,TIC_438789953
339,TIC_440685559
340,TIC_440686535
341,TIC_442571495
342,TIC_443480340
343,TIC_444536794
344,TIC_44743153
345,TIC_447993848
346,TIC_449941032
347,TIC_451922999
348,TIC_452591471
349,TIC_453766186
350,TIC_453808153
351,TIC_453856042
352,TIC_454120432
353,TIC_454196756
354,TIC_454323762
355,TIC_454544943
356,TIC_454715223
357,TIC_454757744
358,TIC_454980196
359,TIC_455029978
360,TIC_459350219
361,TIC_460844584
362,TIC_461066586
363,TIC_461995467
364,TIC_462320070
365,TIC_462492721
366,TIC_46430860
367,TIC_464779449
368,TIC_464781450
369,TIC_466265409
370,TIC_467368706
371,TIC_47330198
372,TIC_47424873
373,TIC_47590073
374,TIC_47596872
375,TIC_48064387
376,TIC_48364505
377,TIC_49954689
378,TIC_50745567
379,TIC_52583022
380,TIC_53205995
381,TIC_54147487
382,TIC_55000645
383,TIC_56459273
384,TIC_5714469
385,TIC_57151431
386,TIC_57513388
387,TIC_57830249
388,TIC_58172624
389,TIC_58543110
390,TIC_58583881
391,TIC_58825604
392,TIC_58833495
393,TIC_59836633
394,TIC_60874953
395,TIC_60922830
396,TIC_61530691
397,TIC_62632828
398,TIC_63777591
399,TIC_64360693
400,TIC_64703341
401,TIC_67568168
402,TIC_68565222
403,TIC_686220013
404,TIC_71374255
405,TIC_72499619
406,TIC_72499657
407,TIC_72564426
408,TIC_72987984
409,TIC_73182755
410,TIC_73308877
411,TIC_73308879
412,TIC_77842052
413,TIC_77951245
414,TIC_77954300
415,TIC_79011520
416,TIC_80033631
417,TIC_82525365
418,TIC_83211097
419,TIC_84900299
420,TIC_90723908
421,TIC_91542943
422,TIC_91853165
423,TIC_92595555
424,TIC_93242288
425,TIC_950715112
426,TIC_97882429
427,TIC_99135067
428,TIC_9966678
