tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 244161191,41717,41741,28925,0.35,0.14760293608335706,2.9572985e-315
TIC 378413560,42075,42096,27374,0.402,0.2478162837888914,1.34102777695397e-293
TIC 312617534,40931,41039,30193,4.108,0.6414594547862887,0.0
TIC 239134011,216215,217426,80584,3.576,0.7149364935538433,0.0
TIC 134873712,15684,18384,31104,4.997,0.7327511460942034,1.3003672167693134e-142
TIC 274801993,164173,164274,67522,3.125,0.003738633419478003,0.0
TIC 245066871,84970,85046,46034,1.3,0.5188352316502782,0.0
TIC 118053599,49038,49295,36462,7.072,0.3799229763402724,0.0
TIC 281757097,88038,88066,47529,1.052,0.2429000373858931,0.0
TIC 20090694,12761,12784,12911,2.999,0.49967390106300397,2.9640422800113746e-137
TIC 381377851,88018,88038,47530,1.359,0.07736188074143245,0.0
TIC 60874953,46820,46974,31695,0.749,0.428182257318765,0.0
TIC 436632331,168105,168162,66330,1.617,0.031799394486144376,0.0
TIC 55000645,95233,95259,47346,15.0,0.030015348638455206,0.0
TIC 198511704,104915,104928,51189,3.942,0.0011597082731251537,0.0
TIC 176876546,15455,15458,15523,5.206,0.10323468012491922,6.0569474251740384e-167
TIC 247439284,155071,155118,62907,1.196,0.030450323159486387,0.0
TIC 427346731,26658,26845,31696,7.14,0.44391831877491156,2.6322119138009667e-233
TIC 221355243,44525,44615,31999,3.213,0.6300892636465629,0.0
TIC 307757953,48128,48421,33075,1.964,0.45569797496598047,0.0
TIC 24452802,163386,163900,66798,1.533,0.5505756019231071,0.0
TIC 388835414,49178,49208,33198,0.675,0.11775087105789422,0.0
TIC 101433378,17168,17171,17221,6.868,0.011402504417621435,5.724091717799523e-186
TIC 43451370,12743,12749,12797,4.658,0.1011468665258106,6.824346802822297e-137
TIC 192543856,43417,43547,29285,4.857,0.33042850266567897,1.313173788051e-311
TIC 950715112,102874,103315,51374,1.044,0.050116914734885186,0.0
TIC 203233128,15213,15231,15423,5.808,0.8495306335426103,2.0375166771452004e-164
