tic_id,clean_counts,no_flare_counts,raw_counts,ls_period,ls_power,fap_95
TIC 90723908,16216,16244,17221,6.514,0.5547436507526511,1.1220555448503871e-175
TIC 245936201,166427,166740,66357,14.597,0.13576357204372677,0.0
TIC 37904598,50842,50929,34482,5.374,0.38331047984745487,0.0
TIC 170631655,159803,159819,65736,0.114,0.14112851213019292,0.0
TIC 343648067,53325,53355,36553,1.084,0.11007833021522956,0.0
TIC 219993473,157941,158047,63323,0.698,0.23564173937360033,0.0
TIC 294159330,1340376,1340628,198470,0.319,0.11576116408562045,0.0
TIC 64360693,51500,51510,34241,1.166,0.05518640935045063,0.0
TIC 442571495,45734,45738,32041,0.399,0.3726712600083476,0.0
TIC 113500710,50569,50583,33799,0.618,0.12251208077462748,0.0
TIC 60922830,78407,78425,40261,0.375,0.7304613705065436,0.0
TIC 268862481,41571,41858,29527,0.775,0.5147609474974634,0.0
TIC 1232360,38714,38875,26569,2.37,0.3183537633248751,6.549680420962471e-286
TIC 133974737,87855,88015,43167,0.291,0.147749352082549,0.0
TIC 57151431,31495,32226,30990,5.543,0.7930949730054605,2.1175328223717474e-215
TIC 213240679,46617,46670,32673,11.17,0.1399315186967668,0.0
TIC 345395031,16195,16196,16248,0.131,0.2371399756197971,3.9465415803720225e-175
TIC 36762220,45264,45305,30926,0.593,0.455807966433572,0.0
TIC 47330198,12689,12711,12859,4.433,0.5280539548990771,1.91601651165663e-136
TIC 144667802,14421,14425,14464,0.787,0.18421787462556985,1.7214965221802835e-155
TIC 453808153,218835,219184,79724,0.794,0.773047652807615,0.0
TIC 337757672,17131,17132,17221,0.492,0.468526407067167,1.55071939906212e-185
TIC 144289734,44843,44853,30045,0.786,0.6728657495649234,0.0
TIC 438627800,85359,85447,46155,1.012,0.5188936712552894,0.0
TIC 686220013,51358,51412,34567,0.873,0.31000525077365876,0.0
TIC 48364505,41513,41543,29937,1.22,0.48968072822272385,0.0
TIC 372918535,47166,47170,31602,0.234,0.0006434683322483213,0.0
TIC 129623324,41549,41574,29926,1.05,0.3694911386760494,0.0
TIC 72499619,44991,45141,30430,1.601,0.8151222357759015,0.0
TIC 185462761,41347,41404,29934,2.228,0.6556403575292561,0.0
TIC 307255082,147964,148014,61863,1.368,0.00785961316627062,0.0
TIC 193136669,46615,46627,31058,1.579,0.2726595230465606,0.0
TIC 291074569,158312,160010,63082,2.289,0.8646624990590183,0.0
TIC 424881692,50637,50693,33901,4.939,0.5218422937818392,0.0
TIC 395130640,144942,144945,63669,0.413,0.6983453919558902,0.0
TIC 360779428,153490,154408,63042,1.929,0.5131570660271492,0.0
TIC 364017175,14189,14190,14227,0.147,0.13150413444259795,7.393066345958004e-153
TIC 203036339,14563,14572,14678,0.629,0.20992804554567093,4.102640084701208e-157
TIC 332213483,41538,41599,30193,2.103,0.45898496372877834,0.0
TIC 166852313,159833,159931,63861,0.519,0.2776018656388353,0.0
