cleaned_time,detrended_flux,trend_time,trend_flux,raw_time,raw_flux
2201.7363691274163,1.00521576098234,2201.7363691274163,0.9946278480650996,2201.7363691274163,0.9998155891869863
2201.7391469998793,0.9972732023463063,2201.7391469998793,0.9945801470616865,2201.7391469998793,0.9918681282502684
2201.740535936111,1.004139865191225,2201.740535936111,0.9945083527046471,2201.740535936111,0.9986254832163916
2201.741924872575,1.0044641684321558,2201.741924872575,0.9945378366986842,2201.741924872575,0.9989776211138591
2201.7433138088068,0.9642064359028573,2201.7433138088068,0.9944378290916189,2201.7433138088068,0.9588433549154046
2201.7447027450385,0.9927878868556614,2201.7447027450385,0.99436907633818,2201.7447027450385,0.9871975740523976
2201.7460916812693,0.9814923142844623,2201.7460916812693,0.9943347775131031,2201.7460916812693,0.9759319419548614
2201.7474806177343,0.9982521874346816,2201.7474806177343,0.9942205792563887,2201.7474806177343,0.9924828680352663
2201.748869553967,0.9889710976687187,2201.748869553967,0.9940960942581556,2201.748869553967,0.9831323055266742
2201.7502584901986,1.0024364986431664,2201.7502584901986,0.993991029340491,2201.7502584901986,0.9964128871347987
2201.7516474264303,1.017563385738691,2201.7516474264303,0.9939908632600937,2201.7516474264303,1.0114487082122652
2201.7530363626624,1.0007086945955286,2201.7530363626624,0.9938792150823147,2201.7530363626624,0.9945835719106517
2201.7544252988932,0.9868130064844894,2201.7544252988932,0.9937754765301322,2201.7544252988932,0.9806705657652559
2201.755814235358,1.0093103540754136,2201.755814235358,0.9937441762828984,2201.755814235358,1.0029962864244724
2201.7572031715895,0.9974487814046735,2201.7572031715895,0.9936849456345418,2201.7572031715895,0.991149838123343
2201.758592107821,0.9774667688178656,2201.758592107821,0.993786066725143,2201.758592107821,0.9713928555380413
2201.759981044053,0.9951911594796731,2201.759981044053,0.9938423780784696,2201.759981044053,0.9890631485799478
2201.7613699802846,0.9935342560904523,2201.7613699802846,0.9937779125388732,2201.7613699802846,0.987352399053432
2201.7627589165154,0.9944799823704986,2201.7627589165154,0.9936991838093054,2201.7627589165154,0.988213946796257
2201.7641478527476,0.979246498748533,2201.7641478527476,0.9935807377580089,2201.7641478527476,0.9729604586735145
2201.765536789212,1.012252506382059,2201.765536789212,0.9934500521949993,2201.765536789212,1.0056223052997755
2201.7669257254433,1.007831767934081,2201.7669257254433,0.9934994521775832,2201.7669257254433,1.0012803093296745
2201.768314661675,1.0116130263717922,2201.768314661675,0.9933584408401663,2201.768314661675,1.0048943386102855
2201.7697035979068,1.0039208525953636,2201.7697035979068,0.9935080570677505,2201.7697035979068,0.9974034557118191
2201.771092534138,0.9990414403342461,2201.771092534138,0.9935080570677505,2201.771092534138,0.9925557203166439
2201.7724814703697,0.982627855765158,2201.7724814703697,0.9935797259910355,2201.7724814703697,0.9763191156823045
2201.773870406602,0.994671601283134,2201.773870406602,0.9935751800998208,2201.773870406602,0.9882810153850671
2201.7752593428327,1.0017166572956187,2201.7752593428327,0.9934683974546382,2201.7752593428327,0.9951738422270954
2201.7766482790644,1.012272150480293,2201.7766482790644,0.9934652745585655,2201.7766482790644,1.0056572299048938
2201.778037215296,1.0190094475863516,2201.778037215296,0.9935328567737126,2201.778037215296,1.0124193675398707
2201.779426151528,0.9983253696075052,2201.779426151528,0.9934077032666698,2201.779426151528,0.991744112534641
2201.7808150877586,1.0237635865683858,2201.7808150877586,0.9933934605568228,2201.7808150877586,1.0170000520532332
2201.7822040239903,1.001202898686647,2201.7822040239903,0.9932777569939373,2201.7822040239903,0.994472569503301
2201.783592960222,1.0193375171850985,2201.783592960222,0.9932513916103131,2201.783592960222,1.0124584074647005
2201.7849818964532,1.0155314605524817,2201.7849818964532,0.9931907751072959,2201.7849818964532,1.0086164784519636
2201.786370832685,1.0258646961259552,2201.786370832685,0.9930884901734696,2201.786370832685,1.01877442219799
2201.787759768917,1.0041648995154022,2201.787759768917,0.9930922583213665,2201.787759768917,0.9972283877867989
2201.789148705149,0.9844657784471738,2201.789148705149,0.9930239442712654,2201.789148705149,0.9775980903136942
2201.7905376413814,1.004374829466193,2201.7905376413814,0.992971064104986,2201.7905376413814,0.9973151431753096
2201.791926577613,1.0072445132687897,2201.791926577613,0.9929155877598949,2201.791926577613,1.0001087779102096
2201.793315513844,1.0035076748412162,2201.793315513844,0.9929318957276838,2201.793315513844,0.9964147779573689
2201.794704450076,1.0145453011499443,2201.794704450076,0.9929145052261832,2201.794704450076,1.007356745720846
2201.796093386308,0.987506883129899,2201.796093386308,0.9928028237191352,2201.796093386308,0.9803996220134458
2201.797482322539,1.0132368285817606,2201.797482322539,0.9927751888271256,2201.797482322539,1.0059163838218552
2201.7988712587708,1.00742874228953,2201.7988712587708,0.9928385660078711,2201.7988712587708,1.00021410784985
2201.8002601947696,1.0148534323835894,2201.8002601947696,0.9927390716314458,2201.8002601947696,1.0074846543064708
2201.8016491310004,1.0244824908510566,2201.8016491310004,0.9926370946920579,2201.8016491310004,1.0169393232812756
2201.814149556852,1.0195499949508218,2201.814149556852,0.9927887830442312,2201.8030380672326,1.0300062419389784
2201.819705301546,1.0108240664538564,2201.819705301546,0.9926759481252823,2201.8044270034648,1.0407801489434305
2201.8210942377777,1.0176431741720209,2201.8210942377777,0.9927660595720196,2201.8058159396955,1.0512149313586918
2201.8224831737757,1.0355308531625744,2201.8224831737757,0.9927231824787142,2201.8072048759273,1.0604706190642075
2201.823872110008,1.0279772019663438,2201.823872110008,0.9926210610579648,2201.808593812159,1.041841122854973
