SDE,filename
9.66229434113358,"9,66229434113358_TIC_269407223_m_BiWeight-w=0,5_s_1,png"
11.053567676970328,"11,053567676970328_TIC_467615807_m_LombScargle-n=2_s_0,png"
10.16937755247315,"10,16937755247315_TIC_284174282_m_LombScargle-n=2_s_0,png"
16.62212429830727,"16,62212429830727_TIC_385558153_m_BiWeight-w=0,5_s_0,png"
10.458664528954609,"10,458664528954609_TIC_402215682_m_LombScargle-n=2_s_0,png"
15.879297025765831,"15,879297025765831_TIC_337941105_m_BiWeight-w=0,5_s_0,png"
9.67428089182947,"9,67428089182947_TIC_461995467_m_BiWeight-w=0,5_s_0,png"
10.605154311673822,"10,605154311673822_TIC_366754094_m_BiWeight-w=0,5_s_0,png"
17.871177010165038,"17,871177010165038_TIC_76458127_m_BiWeight-w=0,5_s_0,png"
15.815150943585444,"15,815150943585444_TIC_93549438_m_BiWeight-w=0,5_s_1,png"
21.596186222025526,"21,596186222025526_TIC_270622446_m_BiWeight-w=0,5_s_0,png"
13.414181852606708,"13,414181852606708_TIC_438369767_m_BiWeight-w=0,5_s_0,png"
11.92224047408802,"11,92224047408802_TIC_365463267_m_BiWeight-w=0,5_s_2,png"
15.45472928174623,"15,45472928174623_TIC_405513314_m_BiWeight-w=0,5_s_1,png"
11.415335868772964,"11,415335868772964_TIC_345395031_m_BiWeight-w=0,5_s_0,png"
13.002949609544991,"13,002949609544991_TIC_261993378_m_BiWeight-w=0,5_s_1,png"
10.30425044094715,"10,30425044094715_TIC_118413949_m_BiWeight-w=0,5_s_2,png"
26.62590091279215,"26,62590091279215_TIC_157459952_m_BiWeight-w=0,5_s_0,png"
16.724559213973837,"16,724559213973837_TIC_453856042_m_LombScargle-n=2_s_0,png"
15.75244818582496,"15,75244818582496_TIC_378413560_m_BiWeight-w=0,5_s_0,png"
11.357192996535726,"11,357192996535726_TIC_247744207_m_BiWeight-w=0,5_s_0,png"
14.00257964785381,"14,00257964785381_TIC_294353348_m_LombScargle-n=2_s_0,png"
10.37409469830154,"10,37409469830154_TIC_61530691_m_LombScargle-n=2_s_0,png"
9.586036234640428,"9,586036234640428_TIC_406478187_m_BiWeight-w=0,5_s_0,png"
11.291505327275637,"11,291505327275637_TIC_462741769_m_BiWeight-w=0,5_s_0,png"
9.255986152093394,"9,255986152093394_TIC_6654810_m_BiWeight-w=0,5_s_0,png"
17.61309360349952,"17,61309360349952_TIC_360631514_m_BiWeight-w=0,5_s_1,png"
15.002660327389131,"15,002660327389131_TIC_451949522_m_BiWeight-w=0,5_s_0,png"
