loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
5529,811.01,100757807,PC,2459193.5315650,25.1760133,4.4180000,12570.0000000,14.2012000,10.9339000,284.0020000,6025.9000000,4.3000000,1.2400000
5530,812.01,363914762,PC,2459249.5877900,13.8665912,6.4910000,7930.0000000,14.3875000,10.9582000,426.0240000,6707.0000000,4.2000000,1.5700000
5531,813.01,55525572,CP,2459125.8469130,83.8967527,13.0417142,1159.9353158,7.1779924,9.8467000,263.1450000,5823.7000000,3.7700000,2.0435400
5532,814.01,255760319,FP,2458359.7339400,7.2104800,2.6710000,250.0940000,3.7188000,8.9944000,196.4720000,5920.4000000,3.9100000,2.1400000
5533,815.01,102840239,PC,2459287.6039110,11.1972990,3.1670000,1170.0000000,2.5817600,9.3600000,59.7117000,4953.9000000,4.5900000,0.7600000
5534,816.01,175180796,FP,2458493.4431200,1.5574700,2.7140000,3127.9400000,3.8033600,11.1430000,74.5217000,4146.6000000,4.6000000,0.6200000
5535,817.01,30312676,FP,2459126.7692000,1.1022300,2.5980000,1015.0000000,7.4694027,11.3029000,7294.4100000,8747.0000000,4.0802200,2.2376700
5536,818.01,46096489,KP,2458598.0727770,3.1185360,2.0432740,12242.7313220,11.8571240,10.6481000,194.1340000,5700.0000000,4.4915800,0.9500000
5537,819.01,73717937,KP,2458602.0888430,16.2577990,4.9700240,6613.2077640,8.9596410,11.7528000,400.3310000,5846.0000000,4.4166500,1.0900000
5538,820.01,111991770,KP,2458599.4450860,3.7520620,3.6800560,9500.4303050,14.9371310,10.4445000,282.0910000,6300.0000000,4.1697900,1.4800000
5539,821.01,125405602,FA,2458606.7846420,13.8233030,1.3652170,2556.5323460,2.8060090,11.1825000,39.5907000,3669.0000000,4.7889600,0.4770000
5540,822.01,127530399,KP,2459359.0083130,7.1335180,3.0060000,18210.0000000,10.9689000,11.1116000,122.9100000,4775.0000000,4.6030500,0.7900000
5541,822.02,127530399,PC,2458597.5756730,1.0115336,1.6201453,640.6892788,2.3332033,11.1116000,122.9100000,4775.0000000,4.6030500,0.7898770
