loc_rowid,toi,tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_dist,st_teff,st_logg,st_rad
1,1000.01,50365310,FP,2459229.6300460,2.1713484,2.0172196,656.8860989,5.8181633,9.6040000,485.7350000,10249.0000000,4.1900000,2.1698600
2,1001.01,88863718,PC,2459250.0645490,1.9316710,3.1800000,1030.0000000,10.3168000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000
3,1002.01,124709665,FP,2459202.2778700,1.8675878,2.2118642,1657.1471093,36.4328722,9.2995010,943.1090000,8924.0000000,,5.7325500
4,1003.01,106997505,FP,2458493.3957000,2.7432300,3.1670000,383.4100000,,9.3003000,7728.1700000,5388.5000000,4.1500000,
5,1004.01,238597883,FP,2459229.5490320,3.5775748,2.9347085,501.6028767,5.0501110,9.1355000,356.4370000,9219.0000000,4.1400000,2.1504000
6,1005.01,169904935,FP,2458492.5552000,4.5507200,2.5990000,3620.0000000,6.5444900,9.1309000,100.7110000,5613.0000000,,1.0900000
7,1006.01,156115721,FP,2459229.9845790,2.5047918,4.3797563,2270.5402194,8.6950898,9.2386000,,6616.0000000,,1.5342900
8,1007.01,65212867,PC,2459247.9306950,6.9989206,3.9530000,2840.0000000,14.7752000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000
9,1008.01,440801822,FP,2458492.5213500,2.0493600,2.2340000,249.5000000,1.7160700,8.9362000,144.2970000,6858.5000000,4.2000000,0.9900000
10,1009.01,107782586,PC,2459252.7513570,1.9600296,1.8420000,2100.0000000,,8.4331000,866.1470000,8868.7000000,,
11,101.01,231663901,KP,2459036.9041040,1.4303691,1.6438728,19151.2162143,13.2504933,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740
12,1010.01,139853601,FP,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,8.4508600,485.1220000,9438.0000000,,1.0000000
13,1011.01,114018671,PC,2459231.1308440,2.4696958,2.3244437,233.4371605,1.4549384,8.2388000,52.6200000,5413.7000000,4.4600000,0.9413350
14,1012.01,427508467,PC,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000
15,1013.01,97700520,FP,2459232.2483220,5.4255548,3.9637474,14939.6342222,,7.6095000,510.2950000,8868.7000000,,
16,1014.01,96246348,PC,2459201.9730100,1.4095043,1.3502669,3554.1212006,,7.6780000,224.6720000,9307.0000000,,
17,1015.01,155044736,PC,2459229.0354060,1.3734992,1.6528441,1062.6115541,21.9288943,10.7069000,906.4960000,4897.0000000,,6.7996100
18,1016.01,175310067,FP,2459238.8311380,12.6889415,7.9201001,3232.8527885,14.0608342,10.6257000,368.6460000,7601.0000000,4.3100000,1.5364100
19,1017.01,182943944,FP,2458518.9653600,1.1042200,2.3700000,14177.7000000,21.0448000,10.6019000,406.9970000,6995.2000000,4.0700000,1.6100000
20,1018.01,291555748,FP,2458492.7807800,4.9591200,2.5090000,7440.0000000,22.9123000,10.6254000,360.5410000,5889.0000000,3.8600000,2.0000000
21,1019.01,341420329,PC,2459232.4467770,5.2340964,3.6909047,20542.2936714,24.0878820,10.6348000,399.5440000,7645.0000000,4.3000000,1.5620300
22,102.01,149603524,KP,2459384.9431220,4.4119288,3.8940000,14790.0000000,15.2023000,9.7109000,175.6310000,6280.0000000,4.3209200,1.2100000
23,1020.01,140706664,FP,2458521.2910800,3.2889200,3.7930000,10518.9000000,,10.7173000,906.8270000,8734.2000000,4.1000000,
24,1021.01,143994283,FP,2458492.9042900,1.9087900,1.9090000,618.4820000,3.3468800,10.5551000,235.9740000,6022.6000000,4.5200000,1.2200000
25,1022.01,47384844,PC,2458547.4480000,3.0957400,4.4750000,380.0000000,3.4262000,8.7292400,120.6660000,6084.0000000,4.1300000,1.4100000
26,1023.01,238374636,FP,2459303.3039690,1.3214483,3.4350000,2180.0000000,21.8839000,9.6970000,316.3980000,5050.8000000,3.5600000,2.9900000
27,1024.01,141482386,FP,2458339.7227600,18.0157000,2.5240000,610.0000000,21.6440000,10.0814000,692.2660000,4709.0000000,,7.6100000
28,1025.01,297967252,PC,2458545.1498960,9.6837920,2.3975780,4245.2906158,,5.5324000,129.8380000,8598.7000000,,
29,1026.01,388624270,FP,2459237.4597340,14.2694372,6.9350494,1246.3921871,3.7255381,9.9138000,105.6770000,5690.0000000,4.5800000,0.8538980
30,1027.01,20318757,PC,2459302.3737990,3.2834447,1.3840000,1220.0000000,2.6999400,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000
31,1027.02,20318757,PC,2459304.6284400,11.0285857,3.1640000,1770.0000000,3.1211100,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000
32,1028.01,447283466,FP,2458544.4806600,1.0160600,2.8430000,240.0000000,1.2070400,7.9059000,23.7748000,4634.0000000,4.6400000,0.6800000
33,1029.01,374908020,FP,2458365.8931300,36.2221400,5.1070000,7170.0000000,,6.8410000,,,,
34,103.01,336732616,KP,2458327.2525600,3.5478540,3.4943330,10424.3718000,14.5818410,11.5232000,411.2110000,6351.0000000,4.2289600,1.4000000
35,1030.01,464296022,FP,2458551.3274700,12.1236900,4.8490000,6142.7700000,9.2566400,9.5706000,78.4127300,4807.6000000,4.1700000,1.0700000
36,1031.01,304021498,FP,2459282.2398610,5.6496834,2.5612882,1194.3338558,6.7892616,9.7318000,270.7710000,6415.4000000,3.9800000,1.9220001
37,1032.01,146589986,PC,2459283.8298870,5.6644730,3.6459666,3449.5814551,14.3057012,9.7611000,587.1960000,10395.0000000,4.1300000,2.3383701
38,1033.01,149601557,FP,2459179.5445500,29.0162503,6.5070000,1440.0000000,9.8422300,10.0163000,219.9400000,6113.1000000,,2.0100000
39,1034.01,400595342,FP,2459283.3375370,3.6344692,2.5339234,628.6990150,4.2048368,9.8174000,363.4400000,9810.0000000,4.4300000,1.6077600
40,1035.01,361413119,PC,2459311.1690300,6.0742782,2.5468064,6039.9909482,31.3717884,10.1126000,347.5560000,5964.0000000,3.7000000,2.4303801
41,1036.01,146172354,PC,2459303.9453570,3.7795364,3.2380000,2340.0000000,6.1096600,10.2855000,184.0150000,5771.0000000,4.3100000,1.1800000
42,1037.01,363260203,FP,2459308.3056350,1.2013272,3.4475374,427.3925883,3.7397226,9.0211000,279.6980000,9158.0000000,4.3200000,1.7416101
43,1038.01,90544017,FP,2459273.3716430,3.2235985,2.1590000,680.0000000,5.5134100,8.7157000,280.7650000,8904.0000000,4.0900000,2.1700000
44,1039.01,461867584,APC,2459284.2122910,4.4205396,4.8490726,5756.6991096,,8.5483000,2864.3400000,,,
45,104.01,231670397,KP,2459038.8635660,4.0872994,5.5861130,3572.1712499,13.6237732,9.8638000,316.6780000,6036.0000000,3.9335900,2.2186699
46,1040.01,310483807,FP,2458520.6567400,2.5555500,1.5660000,340.0000000,11.5901000,8.3854000,732.4320000,10037.0000000,,6.0400000
47,1041.01,385624852,FP,2459261.8012160,8.3079200,3.2280000,8350.0000000,43.1068000,8.0981000,305.0340000,9081.0000000,3.8300000,3.0500000
48,1042.01,360286627,PC,2459331.3664200,0.7581018,1.0780000,780.0000000,10.0744000,9.7180000,792.6330000,9917.0000000,3.7500000,3.5100000
49,1043.01,90448944,FP,2459305.3558630,1.4415711,2.3820000,440.0000000,3.0681400,9.5719000,208.0550000,6902.0000000,4.2500000,1.5200000
50,1044.01,463402815,PC,2459308.0444140,1.0083337,2.2002958,3278.1292670,,10.0031000,494.6890000,5215.2000000,,
51,1045.01,54044474,FP,2459301.5441260,3.7039994,4.2770000,7590.0000000,17.5700000,9.6306000,300.6960000,7013.8000000,4.2100000,1.9000000
52,1046.01,309787037,FP,2459255.7600330,1.3038898,2.0447388,747.4366999,4.9129908,10.0119000,301.2980000,6762.0000000,4.1100000,1.7528900
53,1047.01,370745311,FP,2458544.7906100,0.6262700,0.6660000,1880.0000000,5.7216200,10.2355000,134.9260000,5622.0000000,4.5000000,0.9300000
54,1048.01,384549882,FP,2458518.3760000,0.3041200,0.7480000,1330.0000000,10.4170000,8.8020000,440.4260000,11892.0000000,4.1400000,2.5200000
55,1049.01,16288184,KP,2459363.8213930,2.1805277,2.9691750,16340.1353205,16.8088530,11.0657000,314.9950000,6599.0000000,4.2101700,1.2714601
56,105.01,144065872,KP,2459084.5850100,2.1846669,2.8652800,11708.0228549,13.7028527,9.4995000,137.5440000,5630.0000000,4.3775900,1.2382400
57,1050.01,66818296,KP,2459336.8678800,3.7355697,4.3263124,16789.0595610,21.0809254,11.0261000,405.9080000,6650.0000000,4.1639000,1.5732300
58,1051.01,259863352,FA,2458657.7366250,21.7016690,8.2676424,211.6567325,2.3751494,7.1278000,53.1914900,5625.0000000,4.4380000,1.5648600
59,1052.01,317060587,PC,2458332.9412290,9.1398040,3.0912936,358.4157801,3.0629855,9.0197000,129.8040000,5958.2000000,4.3400000,1.5800000
60,1053.01,112395568,FP,2458657.9991790,5.7426250,2.8602930,1105.7608670,13.0885320,8.8849000,263.7290000,5664.0000000,3.2657400,3.8695900
61,1054.01,366989877,CP,2458664.9708210,15.5077301,5.0493600,636.1674517,3.0547686,8.4362000,88.4343000,6122.0000000,4.3088100,1.1709200
62,1055.01,320004517,CP,2458661.0629970,17.4712881,4.2979320,1219.5496151,3.4371030,8.0888000,57.2651000,5783.5400000,4.4992500,0.9746690
63,1056.01,421894914,PC,2458326.0597650,5.3079888,3.1395198,395.4716052,2.8997170,9.6663000,168.3540000,6124.3000000,4.3800000,1.3696300
64,1057.01,323132914,PC,2458607.3451220,51.1710414,6.4793585,864.8547045,2.7958807,9.4091000,98.2855000,5599.0000000,4.4613800,0.9433560
65,1058.01,31553893,PC,2458663.0235910,11.1296402,7.1068241,968.6119325,12.9783824,9.3781000,338.8310000,5785.0000000,4.3440000,3.4475601
66,1059.01,380783252,PC,2459378.7143160,9.4496506,2.0210000,19750.0000000,17.0216000,9.7825000,98.8783000,5509.0000000,4.3975800,0.9400000
67,106.01,38846515,KP,2459386.7153180,2.8493824,3.8060000,7730.0000000,16.4149000,10.3157000,364.4110000,6900.0000000,4.4380000,1.7700000
68,1060.01,101230735,APC,2458653.9675540,2.0685590,0.9982308,581.9546407,2.8451407,9.6652000,128.4910000,5687.9000000,4.6000000,1.1390600
69,1061.01,253990973,FP,2458654.2532490,0.5409330,1.6743370,257.3474590,2.2850100,9.7345000,133.1710000,5525.0000000,4.2534200,1.2193500
70,1062.01,299799658,CP,2458325.4267810,4.1150133,1.1960092,524.8418785,2.0840072,9.4780000,82.1733000,5394.0000000,4.5094200,0.8873360
71,1063.01,406976746,PC,2459374.3153370,10.0665634,1.9810000,640.0000000,2.0996600,9.0689000,61.1201000,5552.0000000,4.6178300,0.7900000
72,1064.01,79748331,CP,2458656.6682500,6.4438568,1.9034071,1067.3219754,2.4800254,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890
73,1064.02,79748331,CP,2458664.4912650,12.2264881,2.1689136,1245.0598500,2.5664499,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890
74,1065.01,7088246,KP,2458654.3479940,2.1603440,1.8288540,19357.9929920,22.5035410,13.2851000,639.0040000,5780.0000000,4.3292800,1.2000000
75,1066.01,201604954,KP,2458657.8325370,4.6061840,3.1216430,13793.0348670,12.9622190,11.9707000,353.8910000,5670.0000000,4.3925000,1.0700000
76,1067.01,201642601,KP,2459039.0509100,3.1316589,2.3372757,13763.7161384,8.8310592,13.1686000,263.6090000,4351.0000000,4.4380000,0.7670100
77,1068.01,6663331,KP,2458656.6332310,3.1803620,2.1115210,21192.4633240,13.4464870,13.2887000,535.3830000,5498.0000000,4.4793400,0.9200000
78,1069.01,31858843,KP,2458655.5795890,2.9776369,3.1240443,12242.3706105,14.0369087,10.4293000,197.9960000,5703.0000000,4.2582400,1.2202600
79,107.01,92352620,KP,2459039.3358460,3.9502009,4.5643642,12813.7629308,19.7058959,9.6433000,211.2110000,6153.0000000,4.1807700,1.7103601
80,1070.01,31858844,FP,2458655.5792410,2.9776152,3.2569700,43218.1116830,26.8842300,15.7114000,,5740.0000000,4.2921900,1.2800000
81,1071.01,120247528,KP,2458655.3959240,3.5538140,2.0565780,9979.2666910,12.5397440,11.5803000,290.1980000,5639.0000000,4.3717200,1.0797300
82,1072.01,140830390,FP,2459211.7321460,12.8379689,9.8464123,10539.0192794,25.4886382,11.7106000,703.8780000,5765.0000000,4.3477300,2.4494000
83,1073.01,158297421,CP,2459036.4728120,3.9228016,1.8736007,31510.9004906,13.3368705,13.6699000,300.6700000,4444.0000000,4.4380000,0.6983000
84,1074.01,327301957,PC,2458662.6509640,13.9427597,3.7732511,1351.4876372,2.8501548,10.6339000,107.3560000,5206.0000000,4.6309500,0.7416710
85,1075.01,351601843,PC,2458654.2500060,0.6047427,0.9882210,912.4406978,1.8764454,11.1186000,61.4592000,4046.0000000,4.6096300,0.6531890
86,1076.01,360742636,KP,2458654.1629960,2.5495659,2.5932887,14992.7247936,12.8879433,11.2474000,248.4600000,5659.0000000,4.4465300,1.0399700
87,1077.01,369960846,PC,2459362.4676340,1.6062566,1.9759220,16736.4572413,12.6311763,13.4610000,463.6830000,5192.0000000,4.4617000,0.9843260
88,1078.01,370133522,CP,2458654.1054550,0.5182385,0.7499959,797.2618567,1.1403833,10.1165000,20.3730000,3325.0000000,4.8869300,0.3909890
89,1079.01,379240073,PC,2458656.3827560,3.1641470,1.5988640,7491.8512040,13.2761690,13.1284000,1179.2700000,6519.0000000,4.2206800,1.4875900
90,108.01,289793076,KP,2458328.0838300,3.0440541,2.5984575,22236.0165376,12.1086799,13.1630000,421.8550000,5523.0000000,4.5219200,0.8098680
91,1080.01,161032923,PC,2458654.0600340,3.9653470,0.9874540,4770.2614700,2.0344340,12.7067000,25.5590000,3296.0000000,4.9663600,0.2840000
92,1081.01,253728991,PC,2458654.0261190,2.9827800,3.1095280,6136.2316620,11.4670110,11.5247000,354.0500000,6027.0000000,4.2997800,1.2397500
93,1082.01,261108236,PC,2459165.5380130,16.3470117,3.2941073,2074.1162515,2.9277172,11.8835000,100.2480000,4310.0000000,4.5734500,0.6496130
94,1083.01,322270620,PC,2458627.9163420,12.9802713,2.8287210,2883.0717209,3.2077972,12.0936000,68.9109000,3614.0000000,4.8125700,0.4913230
95,1084.01,380589029,KP,2459388.9036980,1.3484955,2.4052414,18542.7758196,15.9189668,12.2851000,494.1820000,6346.0000000,4.3848400,1.1475900
96,1085.01,381979901,APC,2459185.3423640,3.2541190,4.3830000,13410.0000000,14.8796000,11.6577000,444.0660000,6102.0000000,4.2864900,1.2800000
97,1086.01,468148930,PC,2458655.2925330,3.7178739,5.4901064,4872.8739330,14.7464854,12.2303000,736.3970000,5818.0000000,4.3378700,2.0840001
98,1087.01,426077080,FP,2458630.7719400,9.3099200,3.4640000,2220.0000000,14.2968000,9.4142000,416.2500000,6907.0000000,3.6300000,3.0900000
99,1088.01,343648136,FA,2458626.3895500,1.1539500,2.2360000,1550.0000000,5.4836400,10.4613000,240.9010000,6093.0000000,4.2000000,1.4000000
100,1089.01,129319156,FP,2458643.1026400,4.7370300,3.9020000,2410.0000000,25.7144000,10.3918000,778.1270000,11600.0000000,4.1300000,2.4800000
101,109.01,29344935,KP,2458326.1278890,2.7667479,2.5998083,14853.8243821,12.0222507,13.2366000,513.0110000,5346.0000000,4.4882300,0.9848660
102,1090.01,361034196,FP,2458628.9631600,2.1929600,4.5860000,4933.7400000,22.7769000,10.0196000,566.5020000,7009.8000000,3.6000000,2.9500000
103,1091.01,193413306,PC,2459359.5552100,1.7258410,3.6740000,2710.0000000,15.0024000,9.3529000,321.6710000,7348.0000000,3.9000000,2.3900000
104,1092.01,387079085,FP,2458601.3809600,1.1923000,3.1190000,3730.0000000,30.6660000,9.0039000,209.9190000,6534.0000000,3.9500000,2.0400000
105,1093.01,382331352,FP,2458601.3379100,11.4760600,6.0830000,3050.0000000,,10.0067000,1710.2200000,,,
106,1094.01,136274063,APC,2458640.6144300,0.5970600,0.6810000,1030.0000000,9.0535700,9.9806000,426.0030000,7710.0000000,3.9800000,2.2800000
107,1095.01,375223080,PC,2459387.4219100,1.4821401,1.7790000,1830.0000000,11.9167000,10.4291000,582.5210000,7066.0000000,3.7800000,2.6600000
108,1096.01,375225453,FP,2459307.9357700,0.9209526,1.8602735,360.8801529,5.7349089,10.1100000,490.2880000,6553.0000000,3.6500000,2.8908899
109,1097.01,360630575,PC,2459376.4106370,9.1885056,2.4820000,420.0000000,2.1737100,8.7215000,79.5561000,5876.0000000,4.4800000,0.9800000
110,1097.02,360630575,PC,2459344.4618270,13.9028391,2.1264429,647.2701039,2.6136848,8.7215000,79.5561000,5876.0000000,4.4800000,0.9832150
111,1098.01,383390264,CP,2458629.9090050,10.1826982,2.8918097,688.0316535,3.1306969,8.7581000,105.0960000,6153.0000000,4.3481400,1.1458200
112,1099.01,290348383,PC,2458658.7903900,6.4409822,1.8342508,827.0970109,2.4623926,7.3661000,23.6060000,4867.0000000,4.4380000,0.8001520
113,110.01,281459670,KP,2458328.0403180,3.1743474,2.6515124,15154.0381610,14.4066833,11.6714000,342.1400000,5943.0000000,4.4252400,1.1570600
114,1100.01,318608749,PC,2459385.7380510,20.0734756,4.0440000,1160.0000000,4.2369300,10.5135000,205.4300000,6033.0000000,4.3700000,1.1500000
115,1101.01,271581073,FP,2459037.4417640,2.6690078,1.7690728,3344.0407571,10.2264744,10.5891000,262.7940000,5803.5000000,4.0700000,1.5601300
116,1102.01,311890977,FP,2458627.8042300,6.6337100,2.1220000,1555.3400000,2.7537500,10.5652000,58.0624000,4138.1000000,4.5400000,0.6300000
117,1103.01,351603103,PC,2459037.6555260,2.9419297,4.8645053,4449.8518505,28.5292475,10.5598000,320.2120000,4437.0000000,,3.1260200
118,1104.01,451599528,PC,2459367.0343270,341.2811281,6.3030260,972.5797241,4.7531892,7.5622000,70.0154000,6058.6000000,4.2000000,1.3920300
119,1105.01,274151135,PC,2459369.6949090,10.8681705,2.3300000,1420.0000000,2.8654700,10.2809000,79.5225000,4664.0000000,4.5500000,0.7600000
120,1106.01,384513078,PC,2458630.7193700,11.1149000,2.2600000,900.0000000,14.7645000,10.0717000,523.4250000,5042.0000000,,4.9400000
121,1107.01,394561119,PC,2459364.6212710,4.0782210,4.8395805,6003.2043362,13.8483556,10.0068000,281.3140000,6501.0000000,4.0800000,1.7483600
122,1108.01,295599256,FP,2458655.5487200,7.1438600,1.4670000,11146.4000000,22.1531000,9.9410000,417.0800000,7860.0000000,4.1500000,1.9100000
123,1109.01,50309953,FP,2459083.3516800,7.0408300,2.9790000,1580.0000000,8.4640400,9.7906000,102.2380000,5317.0000000,4.4900000,0.9100000
124,111.01,355703913,KP,2458326.1050500,2.1061607,1.4673445,11945.1621709,12.5432421,13.1830000,508.8420000,5380.0000000,4.4337000,0.9406970
125,1110.01,446549905,FP,2458654.6088900,2.4546600,2.3310000,4220.0000000,10.9489000,9.6789000,243.8380000,6610.0000000,4.1500000,1.6400000
126,1111.01,412014494,FP,2458663.0019100,11.4659700,1.6980000,7250.0000000,19.5843000,9.3871000,312.4610000,7262.0000000,4.0000000,2.1300000
127,1112.01,369864738,FP,2458626.5416800,2.7818600,2.4560000,490.0000000,4.9256700,9.5162000,292.0850000,6819.0000000,3.9200000,2.2100000
128,1113.01,290348382,FP,2458658.7871500,6.4404900,1.8540000,7920.0000000,4.9014700,9.6686500,23.8853000,3469.0000000,4.7100000,0.5300000
129,1114.01,409934330,APC,2459038.6225860,2.4888847,3.1066002,3465.6096400,,8.1129000,174.4750000,8048.0000000,4.4380000,
130,1115.01,379286801,APC,2458658.3274700,4.4519900,2.1090000,8483.3800000,15.8858000,10.5260000,359.2150000,6708.3000000,4.2000000,1.5700000
131,1116.01,304100538,PC,2458325.6652610,5.0099900,1.7024171,463.4617977,2.1930769,9.5268000,94.4178000,5551.0000000,4.4621400,0.9062820
132,1117.01,295541511,PC,2459362.4589670,2.2264788,2.3928515,573.8546583,2.6837971,10.4055000,167.5980000,5731.0000000,4.4300000,1.0242200
133,1118.01,90919952,FP,2458660.1631600,4.1381200,3.9110000,5560.0000000,,10.5084000,,4898.4000000,,
134,1119.01,261369656,APC,2458666.5219900,10.9566300,3.5880000,3830.0000000,23.9726000,10.5024000,421.5180000,6456.0000000,3.9200000,2.0700000
135,112.01,388104525,KP,2459307.3329980,2.4997996,2.8651710,14621.2059647,13.8516093,11.6035000,302.4480000,5650.0000000,4.2886700,1.1373200
136,1120.01,143257766,FP,2458656.4485400,1.6625500,3.2850000,6140.0000000,13.1846000,10.4063000,386.3230000,7301.0000000,4.2300000,1.6400000
137,1121.01,24094603,FP,2458658.6105200,4.0761100,2.0620000,1454.1800000,,11.0605000,338.6440000,,,
138,1122.01,304774444,FP,2458658.7742100,3.6265400,3.2980000,910.0000000,4.2280300,10.2934000,249.8260000,6317.0000000,,1.3800000
139,1123.01,469782185,APC,2458658.0408700,1.2092800,1.8860000,11883.8000000,15.1764000,10.2398000,161.9320000,5159.8000000,4.2300000,1.2700000
140,1124.01,128790976,APC,2458657.4310600,3.5187400,2.7390000,5770.0000000,21.1311000,7.2235000,75.7145000,6690.0000000,4.2400000,1.4900000
141,1125.01,80166433,PC,2458656.1488900,1.5460200,0.8520000,405.1730000,,8.0465000,237.5930000,8271.0000000,3.9500000,
142,1126.01,405862830,FP,2458658.2480500,1.6265200,3.3550000,975.8200000,2.6226700,10.3579000,97.8115000,5034.0000000,4.6400000,0.7600000
143,1127.01,269450900,FP,2458657.6307300,2.3243900,4.4530000,2704.1800000,,7.3163000,177.7410000,8268.5000000,3.9300000,
144,1128.01,425721385,FP,2458663.1524500,13.5499000,1.7950000,1180.0000000,6.2463300,9.7298000,222.5290000,6209.0000000,4.0900000,1.6300000
145,1129.01,91576611,FP,2458659.0692700,4.4365100,3.3650000,1520.0000000,19.9664000,8.7823000,247.4140000,7101.9000000,3.9100000,2.3200000
146,113.01,97409519,KP,2458327.0530850,3.3728770,2.6342600,17163.6041900,14.2018030,12.1893000,448.6370000,6050.0000000,4.4506100,1.0200000
147,1130.01,254113311,CP,2458657.8980500,8.3499800,1.8360000,16680.0000000,11.1424000,10.1429000,58.2609000,4236.0000000,4.5200000,0.7400000
148,1130.02,254113311,CP,2458658.7380500,4.0671900,1.7830000,2152.9000000,3.5161600,10.1429000,58.2609000,4236.0000000,4.5200000,0.6900000
149,1131.01,198213332,PC,2459620.5333070,0.5860252,0.7330000,510.0000000,9.1561200,9.2872000,222.7400000,5579.0000000,3.6700000,2.4000000
150,1132.01,267489265,FP,2458683.6794000,1.5505800,2.9560000,303.8950000,3.4818800,9.2293000,286.6680000,7851.0000000,4.1700000,1.8200000
151,1133.01,69997672,FP,2458684.2349000,1.8070900,3.2970000,450.0000000,4.8624200,9.1145800,233.3690000,6244.0000000,3.8400000,2.2000000
152,1134.01,122220263,FP,2458688.5279500,,7.1420000,11740.0000000,18.2358000,9.0360900,170.7320000,6277.0000000,4.0900000,1.6500000
153,1135.01,154872375,PC,2459583.2585580,8.0277158,4.4446435,5625.5384600,8.7955782,9.0285500,114.0480000,5962.7000000,4.3800000,1.1541500
154,1136.01,142276270,PC,2458686.0668770,12.5182728,4.1086398,2134.2812549,4.5992906,8.9361000,84.5362000,5729.0000000,4.4700000,0.9777270
155,1136.02,142276270,PC,2458688.7137390,6.2581224,3.4765332,768.2201471,2.7392312,8.9361000,84.5362000,5729.0000000,4.4700000,0.9777270
156,1136.03,142276270,PC,2458699.3853050,26.3218638,5.2070076,1596.1286202,4.0373270,8.9361000,84.5362000,5729.0000000,4.4700000,0.9777270
157,1136.04,142276270,PC,2458697.7558070,18.8047556,4.5912749,628.5897125,2.5408067,8.9361000,84.5362000,5729.0000000,4.4700000,0.9777270
158,1137.01,89389197,PC,2458684.6299700,1.3204700,1.1810000,850.0000000,41.8014000,9.0055800,419.4350000,4919.6000000,,6.4400000
159,1138.01,110428269,FP,2458684.2050400,0.6497100,2.0760000,620.0000000,6.2318100,8.9060100,395.1200000,9994.0000000,4.0200000,2.5900000
160,1139.01,202563254,PC,2459438.8868400,4.4781206,4.6360000,1010.0000000,5.8737900,8.8619300,238.7260000,7947.0000000,4.2000000,1.8300000
161,114.01,25155310,KP,2459363.4883480,3.2887878,3.4163602,6985.0891761,10.4354627,10.6103000,216.5260000,5800.0000000,4.2800400,1.2417500
162,1140.01,320525204,FP,2459400.9833350,13.7429532,2.4486586,5400.6190333,15.9133312,8.8879700,121.1820000,5941.5000000,,1.3420399
163,1141.01,159510109,FP,2459425.4900380,16.9487087,4.2887767,156467.5479643,45.2204505,8.8523000,97.3391000,5894.7000000,4.3700000,1.1179000
164,1142.01,284450803,FP,2459439.8574320,3.3687742,2.1370000,4080.0000000,21.4071000,8.6402800,299.2940000,7518.0000000,3.8200000,2.6800000
165,1143.01,160268701,FP,2458694.0787500,11.1960200,4.2650000,2814.4000000,13.4737000,8.6328700,191.9840000,6152.0000000,3.8400000,2.3100000
166,1144.01,28230919,KP,2459420.3765310,4.8878006,2.3501670,4214.7194651,4.8624817,8.5077000,37.7647000,4757.3000000,4.5600000,0.7598540
167,1145.01,350995812,FP,2458685.8164300,2.9716400,1.5340000,7350.0000000,,8.5011000,438.3950000,8562.5000000,,
168,1146.01,21755546,FP,2459420.4152670,0.6601790,1.6349369,473.0939303,6.1672487,8.4038600,411.3070000,8598.7000000,4.1000000,2.6243200
169,1147.01,288391628,FP,2458692.1422400,10.9274600,1.9280000,4050.0000000,25.4722000,8.3654400,218.2580000,6259.0000000,3.5900000,2.9200000
170,1148.01,349827430,KP,2459606.3640260,5.5514883,4.2260000,9490.0000000,15.5824000,7.9179000,96.5173000,6403.9000000,4.1600000,1.5500000
171,1149.01,117789567,APC,2459445.5069540,2.3201503,2.0270000,3520.0000000,,7.9172000,632.5530000,8737.5000000,,
172,115.01,281541555,KP,2458329.9020140,4.7423785,2.5318098,12264.0798735,10.3896303,13.0417000,453.8080000,5377.0000000,4.4247600,0.8775850
173,1150.01,16740101,KP,2458683.4419860,1.4811391,3.9824764,7071.7954395,20.3171439,7.5820400,204.4550000,9435.0000000,4.1100000,2.2877300
174,1151.01,69679391,KP,2459441.6687350,3.4741267,3.3230000,14740.0000000,20.5828000,7.5521600,136.4260000,8894.8000000,4.3800000,1.6200000
175,1152.01,237184773,FA,2458684.0908700,6.5012000,5.4530000,2240.0000000,,8.0348000,105.3340000,5485.0000000,,
176,1153.01,154840461,APC,2459584.9533650,6.0360746,1.2200000,1770.0000000,10.7775000,8.4053400,147.1340000,6528.3000000,4.2100000,1.6900000
177,1154.01,459970307,PC,2459686.9657510,21.7456013,4.3130000,520.0000000,2.1189800,9.3188000,93.8819000,5704.0000000,4.5100000,0.9300000
178,1155.01,161450762,FP,2458683.9259400,1.3200300,3.1750000,552.4680000,,9.7110000,,,,
179,1156.01,117256577,FP,2459443.8504530,1.6865822,2.4290000,1770.0000000,,9.7032000,6079.4900000,,,
180,1157.01,147576037,APC,2459590.6960110,13.0727639,3.0800000,4380.0000000,55.5826000,9.6043000,432.1130000,5709.8000000,3.3700000,3.5900000
181,1158.01,379931600,FP,2458685.4338000,2.9256400,4.0270000,6572.9100000,11.6113000,9.5967000,,4884.5000000,,1.3000000
182,1159.01,48188920,FP,2458683.9470700,0.7377400,0.6360000,524.8520000,5.2821500,9.5937000,292.8300000,6449.5000000,3.9400000,2.1000000
183,116.01,238176110,KP,2459037.5284600,2.7985794,2.3401436,16701.5502513,11.7640752,11.0443000,149.9420000,4920.0000000,4.4937100,0.9066550
184,1160.01,89510024,FP,2458683.7372000,2.3654900,1.7720000,490.0000000,,9.5770000,2320.1300000,,,
185,1161.01,158324245,KP,2459420.7337270,1.7635888,3.2515849,8089.2307524,,10.2306000,519.0960000,7986.1000000,,
