TIC_ID,SDE,period,T0,duration,depth,rp_rs,snr
TIC_120334451,5.8028446333742405,5.357004687157569,1660.5474470075508,0.25141272057154684,0.9981641919367351,0.03988699614194406,15.294542814256053
TIC_171773770,5.2630948177903525,1.6779757068366676,2665.3744596979154,0.0499579864242525,0.9980506778209363,0.04112775014731021,7.123038076774174
TIC_250081915,5.7672772726984975,1.0805236383610088,2448.2328430328125,0.08350441193604374,0.9987664283574232,0.03263849493274063,10.790118630958215
TIC_408411330,4.5612822770928565,7.354688843894962,2454.454581875775,0.04560390163536753,0.9939911759439777,0.07203485379068716,11.382092845625627
TIC_103107644,5.545555236920714,2.7200234119917828,1544.3618456728216,0.1776220594116403,0.998631663049858,0.03340852652564958,19.558220816970397
TIC_316295827,5.717047541668983,9.006731718091892,1608.5528030134021,0.17079852157895903,0.9843900310410276,0.11638647142300343,15.230987468442542
TIC_399020708,6.436975319619914,0.887211192958743,1601.6002299116865,0.07428798158832041,0.9914294608199127,0.0858450820606404,20.382619844186785
TIC_134873712,7.846354066633724,6.061845181385752,1575.6415560249804,0.0036508274434124796,0.9953756751043528,0.06146979642257941,6.485000710808416
TIC_122083452,8.29521807544368,8.387401074609361,1609.7072322344861,0.04111101373020935,0.9241803966198308,0.255881382986339,34.42237079602473
TIC_61530691,5.434224578029796,1.2065522213275632,1601.5396877975193,0.10193138748220104,0.9958851880853126,0.05966342084892634,13.333540815368522
TIC_369743688,4.520317739566264,4.480602679859977,1601.9187930224925,0.029174667387519886,0.9890608256626966,0.09742836451271641,5.651221286543969
TIC_326538701,5.793722766596065,1.6724944559406116,1602.3616940437873,0.14946190093136608,0.992598834478423,0.07977400688023623,5.307070480854764
TIC_410981161,5.396030999396307,2.805211897785619,1601.9626192564435,0.052167311479387066,0.9882138468351573,0.09971456887409857,4.816102276506574
TIC_241683370,16.32769761413991,0.892967737130642,1602.1828587301338,0.020211338646070973,0.9104925971659976,0.2747907145825922,18.82774679661432
TIC_435801086,8.713015079732834,0.6792937933822736,1601.4644963179871,0.01798210741338721,0.9473075981592137,0.20886578870337838,5.380380317997751
