Gaia,RAdeg,DEdeg,Gmag,P,Age,E_Age,e_Age,distance_pc,table_origin
3558426657240800000,170.0754,-17.9388,15.8,0.33,23.1,6.5,4.9,153.1393568147014,1
3343603353853390000,90.2823,13.4184,16.1,0.19,38.1,17.0,7.4,112.10762331838565,1
6076396177076790000,186.7446,-53.6308,13.4,0.15,15.9,4.5,3.6,136.4256480218281,1
77007084285637900,30.6868,13.5755,12.8,0.51,,,,38.654812524159254,1
709183183145674000,126.5439,31.6193,16.2,0.26,18.9,10.6,2.9,303.03030303030306,1
709079760333245000,126.3674,31.2568,16.9,0.14,27.6,18.1,7.3,307.6923076923077,1
709192460275015000,126.7715,31.8314,15.5,0.12,25.6,28.2,6.6,220.26431718061673,1
2946830942156220000,99.4683,-16.7348,16.8,1.0,10.5,2.6,2.6,194.9317738791423,1
4111998841692220000,256.2708,-26.1904,14.8,1.0,10.3,2.7,2.9,116.41443538998836,1
6005567287273380000,230.8282,-41.2704,15.9,1.0,13.0,2.7,3.1,157.9778830963665,1
6005576117726260000,230.476,-41.2616,16.3,0.52,25.0,6.4,5.3,141.04372355430183,1
6005607896187490000,230.741,-41.0409,15.6,0.76,17.2,3.1,3.4,147.92899408284023,1
2013193665778360000,344.0142,58.1959,7.0,0.38,,,,245.09803921568627,1
5244706164260020000,153.8877,-67.6595,17.4,0.14,30.6,30.4,8.5,289.01734104046244,1
5837888190620530000,181.3714,-76.0145,17.5,0.32,,,,106.38297872340425,1
1760751735968900000,317.0262,15.9937,15.2,0.11,21.2,99.0,5.4,284.90028490028493,1
252676847332999000,68.6868,44.0449,14.1,0.12,8.7,23.5,2.7,286.5329512893983,1
4171418717746440000,271.1151,-6.4182,17.0,0.6,19.5,5.2,4.5,187.6172607879925,1
252663000358381000,69.029,44.0515,16.2,0.94,19.0,2.0,5.6,137.7410468319559,1
6203360942248430000,222.6397,-34.342,14.3,0.54,16.8,5.3,3.5,108.69565217391305,1
5837913307589880000,184.2661,-75.6022,16.2,0.52,16.6,4.3,4.0,204.0816326530612,1
6203405025792920000,222.9819,-33.952,18.0,0.28,44.1,12.8,9.7,154.5595054095827,1
463006584139846000,48.7151,60.8368,14.9,0.83,15.2,5.3,3.5,158.9825119236884,1
5896254803323120000,215.9834,-53.6086,16.0,1.0,5.1,2.3,1.6,137.17421124828533,1
4171467955253980000,268.7698,-8.2308,13.8,0.16,,,,316.4556962025316,1
4171414457137830000,270.8132,-6.4992,13.7,0.28,7.8,4.4,1.3,293.2551319648094,1
5978743528577950000,259.169,-34.3885,16.8,0.3,34.8,13.1,11.3,135.31799729364005,1
5978754802890180000,259.1551,-34.1772,14.8,0.99,14.6,3.0,3.2,98.4251968503937,1
2080580049080330000,296.2292,47.3274,17.6,0.23,24.1,6.8,6.6,328.9473684210526,1
561737127674235000,39.9038,78.9561,16.4,0.27,22.1,11.6,5.7,225.22522522522522,1
2011302402693170000,353.7006,59.312,16.4,0.84,13.9,2.8,3.6,221.72949002217297,1
2011344115416080000,355.4766,59.8768,13.7,0.72,25.6,12.9,6.7,50.47955577990914,1
1866056882310630000,313.4457,33.0729,13.0,0.26,16.4,4.5,3.4,111.48272017837235,1
236157058784796000,51.3314,40.9533,7.2,0.31,,,,233.1002331002331,1
4205907545663290000,287.0341,-6.4394,11.5,0.99,,,,248.75621890547265,1
236188502242012000,49.8443,39.9857,15.5,0.28,37.1,15.8,9.2,79.1139240506329,1
5855710445174370000,191.9969,-68.7337,11.1,1.0,,,,184.84288354898337,1
5855713370080740000,191.7307,-68.7251,14.0,1.0,11.1,2.9,4.3,102.6694045174538,1
5855695468655870000,190.2162,-68.9496,11.4,1.0,3.4,0.9,0.2,101.31712259371835,1
4269915786852590000,275.4314,-3.0251,16.0,0.41,13.0,2.8,2.9,309.59752321981426,1
4269910525516530000,275.1422,-3.1649,13.1,1.0,,,,289.8550724637681,1
4269912282159290000,275.3098,-3.0675,14.9,0.11,12.6,23.7,3.2,277.77777777777777,1
4269956533204290000,275.8163,-2.5997,11.8,0.15,,,,317.46031746031747,1
6748753790917510000,300.9878,-31.8695,16.2,0.37,25.6,9.4,6.0,159.4896331738437,1
6748777632279000000,300.9397,-31.6419,11.3,0.21,,,,294.11764705882354,1
4575548167896010000,258.667,29.1453,17.5,0.45,17.2,4.2,4.2,327.8688524590164,1
3149583188417470000,113.7054,9.8318,14.3,0.2,19.7,9.1,3.7,144.92753623188406,1
4724576077002830000,38.7744,-62.3993,8.2,0.3,,,,198.80715705765405,1
5957457739378400000,265.5366,-42.0834,16.0,0.57,22.9,4.3,4.1,119.47431302270013,1
5516154561303820000,122.244,-48.2355,16.2,0.96,10.7,1.6,3.9,252.52525252525254,1
5516157516241530000,122.2309,-48.2124,17.1,0.35,20.1,7.6,7.1,286.5329512893983,1
5516150575574110000,122.6792,-48.0844,16.7,0.17,31.9,22.6,9.9,181.48820326678768,1
5516157172643830000,122.4907,-48.0816,16.7,0.41,16.8,6.0,3.6,330.03300330033005,1
5516162498403300000,122.5988,-48.0656,8.6,0.27,,,,265.2519893899204,1
5516171535015500000,122.9995,-48.0429,17.2,0.32,19.7,5.4,4.9,312.5,1
5516179128517540000,123.0553,-47.7908,16.4,0.67,12.4,3.9,2.8,328.9473684210526,1
1980991581544810000,327.2305,52.2389,16.5,0.43,16.4,6.9,4.1,286.5329512893983,1
454060304703555000,38.7444,54.18,16.5,0.51,17.9,4.0,5.6,225.73363431151242,1
4887005074348950000,60.8035,-30.9455,16.3,0.13,28.0,15.0,7.9,252.52525252525254,1
4886831592030180000,59.1028,-31.1944,13.2,0.28,34.8,37.5,10.8,37.80718336483932,1
5236296171620610000,176.607,-66.6931,13.8,1.0,2.6,0.9,0.5,107.41138560687432,1
3479243467643980000,177.5395,-31.6498,16.7,0.83,13.4,2.6,3.6,271.7391304347826,1
4159532997057160000,275.9488,-7.998,16.0,0.77,10.2,1.5,3.1,281.69014084507046,1
1262387134217520000,224.3015,22.2462,15.0,0.28,18.7,7.6,2.3,177.9359430604982,1
4159548218420910000,276.1026,-7.7281,13.1,1.0,,,,325.73289902280135,1
4159535196080020000,276.0443,-7.9194,16.9,0.45,13.7,4.1,3.0,312.5,1
4159554403173960000,275.7679,-7.7838,13.1,1.0,,,,239.80815347721824,1
