TIC_ID,TLC,EOM,Gaia_DR2_ID,RAdeg,DEdeg,plx,Gmag,bp-rp,Prob,Age,E_Age,e_Age
TIC_83481217,22.0,15.0,GDR2_6017592336735361024,249.4165,-38.8135,5.6,15.2,3.1,1.0,4.6,2.2,2.0
TIC_160707155,22.0,20.0,GDR2_6004604694900148224,227.4176,-42.0518,6.97,17.8,3.8,0.24,49.0,11.6,9.8
TIC_419582887,22.0,27.0,GDR2_6059835539127874688,191.2109,-58.7759,9.18,15.8,3.2,0.23,33.3,21.7,6.5
TIC_405808779,22.0,27.0,GDR2_6059846877842436864,192.1755,-58.639,8.55,14.4,2.8,0.73,15.0,2.2,4.4
TIC_293102390,22.0,-1.0,GDR2_6017588969480727168,249.117,-38.866,7.01,17.6,4.4,1.0,nan,nan,nan
TIC_83481207,22.0,15.0,GDR2_6017592401126416128,249.4445,-38.8125,6.02,13.9,2.4,1.0,8.0,4.1,2.3
TIC_293101911,22.0,15.0,GDR2_6017601338986570368,249.1415,-38.802,5.72,17.1,3.5,0.89,16.6,3.6,4.7
TIC_290778133,-1.0,-1.0,GDR2_4793096262961738880,84.8958,-51.2988,4.56,16.2,2.9,0.2,25.1,17.4,5.6
TIC_293101406,22.0,15.0,GDR2_6017602747735927040,249.0521,-38.7339,5.89,15.1,2.7,0.32,18.2,8.4,2.2
TIC_83244176,22.0,15.0,GDR2_6017590206431296000,249.2714,-38.7962,5.91,14.4,2.4,0.2,17.1,3.0,3.4
TIC_83481383,22.0,15.0,GDR2_6017592126248468096,249.4659,-38.8358,5.82,15.7,3.0,0.89,14.3,2.6,4.6
TIC_419583110,-1.0,-1.0,GDR2_6059832274952991360,191.2686,-58.8146,4.82,16.2,2.9,0.2,24.6,16.9,8.7
TIC_425368089,22.0,-1.0,GDR2_6059825467381589888,191.1002,-58.9227,9.0,9.8,1.3,1.0,3.0,0.9,0.8
TIC_140921866,-1.0,-1.0,GDR2_5521551136174719872,128.675,-46.76,5.73,17.8,3.6,0.21,45.8,17.1,10.1
TIC_67542118,-1.0,-1.0,GDR2_1910120841574182528,350.0947,31.9164,3.84,17.3,3.2,0.34,21.2,8.2,4.3
TIC_387237152,-1.0,-1.0,GDR2_2274385504804062720,308.8758,70.3739,3.21,16.2,3.5,1.0,2.1,0.4,1.4
TIC_255995996,-1.0,-1.0,GDR2_2274352382016247680,308.2268,70.0972,4.43,16.8,2.9,0.14,29.9,17.7,11.5
TIC_418262234,8.0,1.0,GDR2_2274314586303363200,323.4451,75.1356,6.12,16.1,3.1,0.73,19.4,3.9,4.4
TIC_457050182,22.0,-1.0,GDR2_6067161859948691072,201.7991,-54.1192,6.97,14.7,2.7,0.64,14.1,5.8,2.0
TIC_359307300,22.0,-1.0,GDR2_6067137292734936320,201.1985,-54.3242,9.64,15.0,3.2,1.0,13.4,3.2,3.0
TIC_359307236,22.0,-1.0,GDR2_6067137224015451392,201.2093,-54.3402,8.37,11.4,1.6,0.44,nan,nan,nan
TIC_265633501,-1.0,-1.0,GDR2_5342657845578642816,174.5575,-56.9636,3.62,16.0,2.6,0.13,24.0,72.1,4.7
TIC_751640,7.0,-1.0,GDR2_4221205085283806976,300.7004,-4.5962,7.32,14.6,2.7,0.16,22.5,36.0,2.9
TIC_423600992,-1.0,-1.0,GDR2_6899031982182545664,320.42,-6.6774,3.3,15.7,2.5,0.19,18.9,8.5,3.2
TIC_134809420,22.0,-1.0,GDR2_6149141309462120320,183.1962,-41.1872,7.98,17.3,3.8,0.63,35.5,13.6,9.3
TIC_423495146,-1.0,-1.0,GDR2_3558088110738379392,169.093,-18.011,4.68,16.4,3.1,0.55,17.7,4.7,4.1
TIC_322594860,11.0,-1.0,GDR2_2183232039501508224,309.3242,53.8501,3.13,17.4,3.1,0.23,21.2,6.2,6.8
TIC_13379730,-1.0,-1.0,GDR2_2014446078236563840,344.4738,60.074,3.42,15.5,3.1,1.0,nan,nan,nan
TIC_303751054,-1.0,-1.0,GDR2_2183208262561751296,308.7926,53.4307,4.97,16.5,3.0,0.25,26.7,12.9,7.9
